,p_value_ALL,p_value_AML
0,0.558064516,2342442
1,0.558064516,0.470967742
2,0.558064516,0.470967742
3,0.558064516,0.470967742
4,0.558064516,0.470967742
5,0.558064516,0.470967742
6,0.558064516,0.470967742
7,0.558064516,0.470967742
8,0.558064516,0.470967742
9,0.441935484,0.529032258
10,0.558064516,0.470967742
11,0.558064516,0.470967742
12,0.558064516,0.470967742
13,0.558064516,0.470967742
14,0.558064516,0.470967742
15,0.558064516,0.470967742
16,0.558064516,0.470967742
17,0.558064516,0.470967742
18,0.558064516,0.470967742
19,0.558064516,0.470967742
20,0.558064516,0.470967742
21,0.558064516,0.470967742
22,0.558064516,0.470967742
23,0.558064516,0.470967742
24,0.558064516,0.470967742
25,0.558064516,0.470967742
26,0.558064516,0.470967742
27,0.558064516,0.470967742
28,0.558064516,0.470967742
29,0.558064516,0.470967742
30,0.558064516,0.470967742
31,0.558064516,0.470967742
32,0.558064516,0.470967742
33,0.558064516,0.470967742
34,0.558064516,0.470967742
35,0.558064516,0.470967742
36,0.558064516,0.470967742
37,0.558064516,0.470967742
38,0.558064516,0.470967742
39,0.558064516,0.470967742
40,0.558064516,0.470967742
41,0.558064516,0.470967742
42,0.558064516,0.470967742
43,0.558064516,0.470967742
44,0.558064516,0.470967742
45,0.558064516,0.470967742
46,0.558064516,0.470967742
47,0.558064516,0.470967742
48,0.558064516,0.470967742
49,0.558064516,0.470967742
50,0.558064516,0.470967742
51,0.558064516,0.470967742
52,0.558064516,0.470967742
53,0.558064516,0.470967742
54,0.558064516,0.470967742
55,0.558064516,0.470967742
56,0.441935484,0.529032258
57,0.558064516,0.470967742
58,0.558064516,0.470967742
59,0.558064516,0.470967742
60,0.558064516,0.470967742
61,0.558064516,0.470967742
62,0.558064516,0.470967742
63,0.558064516,0.470967742
64,0.558064516,0.470967742
65,0.558064516,0.470967742
66,0.558064516,0.470967742
67,0.558064516,0.470967742
68,0.558064516,0.470967742
69,0.558064516,0.470967742
70,0.558064516,0.470967742
71,0.558064516,0.470967742
72,0.558064516,0.470967742
73,0.558064516,0.470967742
74,0.558064516,0.470967742
75,0.558064516,0.470967742
76,0.558064516,0.470967742
77,0.558064516,0.470967742
78,0.558064516,0.470967742
79,0.558064516,0.470967742
80,0.441935484,0.529032258
81,0.558064516,0.470967742
82,0.558064516,0.470967742
83,0.558064516,0.470967742
84,0.558064516,0.470967742
85,0.558064516,0.470967742
86,0.558064516,0.470967742
87,0.558064516,0.470967742
88,0.558064516,0.470967742
89,0.558064516,0.470967742
90,0.558064516,0.470967742
91,0.558064516,0.470967742
92,0.558064516,0.470967742
93,0.558064516,0.470967742
94,0.558064516,0.470967742
95,0.558064516,0.470967742
96,0.558064516,0.470967742
97,0.558064516,0.470967742
98,0.558064516,0.470967742
99,0.558064516,0.470967742
100,0.558064516,0.470967742
101,0.558064516,0.470967742
102,0.558064516,0.470967742
103,0.558064516,0.470967742
104,0.558064516,0.470967742
105,0.558064516,0.470967742
106,0.558064516,0.470967742
107,0.558064516,0.470967742
108,0.558064516,0.470967742
109,0.558064516,0.470967742
110,0.558064516,0.470967742
111,0.441935484,0.529032258
112,0.558064516,0.470967742
113,0.558064516,0.470967742
114,0.558064516,0.470967742
115,0.558064516,0.470967742
116,0.558064516,0.470967742
117,0.558064516,0.470967742
118,0.558064516,0.470967742
119,0.558064516,0.470967742
120,0.558064516,0.470967742
121,0.558064516,0.470967742
122,0.558064516,0.470967742
123,0.558064516,0.470967742
124,0.558064516,0.470967742
125,0.558064516,0.470967742
126,0.558064516,0.470967742
127,0.558064516,0.470967742
128,0.558064516,0.470967742
129,0.558064516,0.470967742
130,0.558064516,0.470967742
131,0.558064516,0.470967742
132,0.558064516,0.470967742
133,0.558064516,0.470967742
134,0.558064516,0.470967742
135,0.558064516,0.470967742
136,0.558064516,0.470967742
137,0.558064516,0.470967742
138,0.558064516,0.470967742
139,0.558064516,0.470967742
140,0.558064516,0.529032258
141,0.558064516,0.470967742
142,0.558064516,0.470967742
143,0.558064516,0.470967742
144,0.558064516,0.470967742
145,0.558064516,0.470967742
146,0.558064516,0.470967742
147,0.558064516,0.470967742
148,0.558064516,0.470967742
149,0.441935484,0.529032258
150,0.558064516,0.470967742
151,0.558064516,0.470967742
152,0.558064516,0.470967742
153,0.558064516,0.470967742
154,0.558064516,0.470967742
155,0.558064516,0.470967742
156,0.558064516,0.470967742
157,0.558064516,0.470967742
158,0.558064516,0.470967742
159,0.558064516,0.470967742
160,0.558064516,0.470967742
161,0.558064516,0.470967742
162,0.558064516,0.470967742
163,0.558064516,0.470967742
164,0.558064516,0.470967742
165,0.558064516,0.470967742
166,0.558064516,0.470967742
167,0.558064516,0.470967742
168,0.558064516,0.470967742
169,0.558064516,0.470967742
170,0.441935484,0.529032258
171,0.558064516,0.470967742
172,0.558064516,0.470967742
173,0.558064516,0.470967742
174,0.558064516,0.470967742
175,0.558064516,0.470967742
176,0.558064516,0.470967742
177,0.558064516,0.470967742
178,0.558064516,0.470967742
179,0.558064516,0.470967742
180,0.558064516,0.470967742
181,0.558064516,0.470967742
182,0.558064516,0.470967742
183,0.558064516,0.470967742
184,0.558064516,0.470967742
185,0.558064516,0.470967742
186,0.558064516,0.470967742
187,0.558064516,0.470967742
188,0.558064516,0.470967742
189,0.558064516,0.470967742
190,0.558064516,0.470967742
191,0.558064516,0.470967742
192,0.558064516,0.470967742
193,0.558064516,0.470967742
194,0.558064516,0.470967742
195,0.558064516,0.470967742
196,0.558064516,0.470967742
197,0.558064516,0.470967742
198,0.441935484,0.529032258
199,0.558064516,0.470967742
200,0.558064516,0.470967742
201,0.558064516,0.470967742
202,0.558064516,0.470967742
203,0.558064516,0.470967742
204,0.558064516,0.470967742
205,0.558064516,0.470967742
206,0.558064516,0.470967742
207,0.558064516,0.470967742
208,0.558064516,0.470967742
209,0.558064516,0.470967742
210,0.558064516,0.470967742
211,0.558064516,0.470967742
212,0.558064516,0.470967742
213,0.558064516,0.470967742
214,0.558064516,0.470967742
215,0.558064516,0.470967742
216,0.558064516,0.470967742
217,0.558064516,0.470967742
218,0.558064516,0.470967742
219,0.558064516,0.470967742
220,0.558064516,0.470967742
221,0.558064516,0.470967742
222,0.558064516,0.470967742
223,0.558064516,0.470967742
224,0.558064516,0.470967742
225,0.558064516,0.470967742
226,0.558064516,0.470967742
227,0.558064516,0.470967742
228,0.558064516,0.470967742
229,0.558064516,0.470967742
230,0.558064516,0.470967742
231,0.558064516,0.470967742
232,0.558064516,0.470967742
233,0.558064516,0.470967742
234,0.558064516,0.470967742
235,0.558064516,0.470967742
236,0.558064516,0.470967742
237,0.558064516,0.470967742
238,0.558064516,0.470967742
239,0.441935484,0.529032258
240,0.558064516,0.470967742
241,0.558064516,0.470967742
242,0.558064516,0.470967742
243,0.558064516,0.470967742
244,0.441935484,0.529032258
245,0.558064516,0.470967742
246,0.558064516,0.470967742
247,0.558064516,0.470967742
248,0.558064516,0.470967742
249,0.558064516,0.470967742
250,0.558064516,0.470967742
251,0.558064516,0.470967742
252,0.558064516,0.470967742
253,0.558064516,0.470967742
254,0.558064516,0.470967742
255,0.558064516,0.470967742
256,0.558064516,0.470967742
257,0.558064516,0.470967742
258,0.558064516,0.470967742
259,0.558064516,0.470967742
260,0.558064516,0.470967742
261,0.558064516,0.470967742
262,0.558064516,0.470967742
263,0.558064516,0.470967742
264,0.558064516,0.470967742
265,0.558064516,0.470967742
